time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,characteristics_group,characteristic,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202021,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,3957,423890,23200937.71,54.7,416511,98.3,250916,59.2,335058,79,181846,42.9,108778,25.7,145291,34.3,2044542.57,4.82,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Any other Asian background,2219,10805,633411.01,58.6,10530,97.5,7245,67.1,8821,81.6,5712,52.9,3816,35.3,4753,44,57608.24,5.33,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Bangladeshi,1425,10247,570028.77,55.6,10025,97.8,6211,60.6,8125,79.3,5481,53.5,2959,28.9,4059,39.6,51031.36,4.98,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Indian,2055,16901,1048466.27,62,16634,98.4,12234,72.4,14442,85.5,9927,58.7,6966,41.2,8443,50,96150.31,5.69,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Pakistani,1820,25751,1301520.67,50.5,25110,97.5,12941,50.3,18141,70.4,11292,43.9,5373,20.9,7695,29.9,114751.68,4.46,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Asian - Total,3000,63704,3553426.72,55.8,62299,97.8,38631,60.6,49529,77.7,32412,50.9,19114,30,24950,39.2,319541.59,5.02,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Black - Any other black background,1511,4529,218879.75,48.3,4375,96.6,2042,45.1,3035,67,1974,43.6,849,18.7,1300,28.7,19211.19,4.24,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Black - Black African,2370,23240,1213953.14,52.2,22629,97.4,12458,53.6,17305,74.5,11344,48.8,5410,23.3,7924,34.1,108202.95,4.66,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Black - Caribbean,1439,7142,314233.63,44,6890,96.5,2561,35.9,4298,60.2,2622,36.7,927,13,1551,21.7,26802.53,3.75,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Black - Total,2702,34911,1747066.52,50,33894,97.1,17061,48.9,24638,70.6,15940,45.7,7186,20.6,10775,30.9,154216.67,4.42,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Chinese - Chinese,1187,2101,145288.51,69.2,2073,98.7,1761,83.8,1954,93,1310,62.4,1085,51.6,1233,58.7,13533.37,6.44,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Chinese - Total,1187,2101,145288.51,69.2,2073,98.7,1761,83.8,1954,93,1310,62.4,1085,51.6,1233,58.7,13533.37,6.44,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - Any other mixed background,2855,11752,623113.78,53,11412,97.1,6370,54.2,8687,73.9,5408,46,3087,26.3,4103,34.9,55479.57,4.72,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - Total,3479,31772,1631140.68,51.3,30855,97.1,16377,51.5,22741,71.6,13296,41.8,7345,23.1,9979,31.4,143518.55,4.52,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - White and Asian,2541,7531,423474.39,56.2,7365,97.8,4674,62.1,5942,78.9,3540,47,2289,30.4,2911,38.7,37807.85,5.02,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - White and Black African,1935,4093,207109.25,50.6,3981,97.3,2047,50,2922,71.4,1709,41.8,865,21.1,1233,30.1,18218.54,4.45,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Mixed - White and Black Caribbean,2457,8396,377443.26,45,8097,96.4,3286,39.1,5190,61.8,2639,31.4,1104,13.1,1732,20.6,32012.59,3.81,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Other - Any other ethnic group,2224,11265,582272.52,51.7,10855,96.4,5980,53.1,7979,70.8,5743,51,3010,26.7,4154,36.9,53008.98,4.71,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Other - Total,2224,11265,582272.52,51.7,10855,96.4,5980,53.1,7979,70.8,5743,51,3010,26.7,4154,36.9,53008.98,4.71,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Unclassified - Total,2209,10115,456500.26,45.1,9498,93.9,4353,43,6350,62.8,3379,33.4,1803,17.8,2437,24.1,39870.99,3.94,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Unclassified - Unclassified,2209,10115,456500.26,45.1,9498,93.9,4353,43,6350,62.8,3379,33.4,1803,17.8,2437,24.1,39870.99,3.94,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,White - Any other white background,3258,32109,1673576.78,52.1,31215,97.2,16851,52.5,23024,71.7,15798,49.2,8659,27,11652,36.3,151548.54,4.72,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,White - Gypsy/Roma,596,1425,32396,22.7,1242,87.2,130,9.1,298,20.9,149,10.5,18,1.3,43,3,2532.2,1.78,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,White - Total,3959,421995,21203614.56,50.2,409750,97.1,214951,50.9,302629,71.7,150737,35.7,84555,20,116476,27.6,1837621.49,4.35,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,White - Traveller of Irish heritage,152,171,5257.75,30.7,144,84.2,36,21.1,60,35.1,35,20.5,10,5.8,15,8.8,439.84,2.57,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,White - White British,3939,386569,19396557.03,50.2,375477,97.1,196886,50.9,277869,71.9,133991,34.7,75347,19.5,104108,26.9,1674567.97,4.33,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,White - White Irish,967,1721,95827,55.7,1672,97.2,1048,60.9,1378,80.1,764,44.4,521,30.3,658,38.2,8532.94,4.96,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,First language,English,3975,475601,24152471.55,50.8,462244,97.2,246822,51.9,344655,72.5,174476,36.7,98727,20.8,135114,28.4,2096011.02,4.41,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,3503,97406,5070087.72,52.1,94508,97,51446,52.8,69824,71.7,47760,49,25101,25.8,34519,35.4,456993.15,4.69,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,First language,Unclassified EAL,681,2856,96750.5,33.9,2472,86.6,846,29.6,1341,47,581,20.3,270,9.5,371,13,8307.47,2.91,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,FSM,3949,107838,4216547.8,39.1,100614,93.3,32217,29.9,54843,50.9,27750,25.7,9993,9.3,16359,15.2,354955.35,3.29,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,FSM all other,3975,468025,25102761.97,53.6,458610,98,266897,57,360977,77.1,195067,41.7,114105,24.4,153645,32.8,2206356.29,4.71,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Gender,Boys,3774,293649,14119030.37,48.1,282785,96.3,141604,48.2,203092,69.2,98254,33.5,49851,17,71082,24.2,1231043.62,4.19,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Gender,Girls,3716,282214,15200279.4,53.9,276439,98,157510,55.8,212728,75.4,124563,44.1,74247,26.3,98922,35.1,1330268.02,4.71,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Autistic Spectrum Disorder,3071,11680,368527.13,31.6,8642,74,2915,25,4803,41.1,1609,13.8,748,6.4,1097,9.4,30714.3,2.63,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Hearing Impairment,1244,1883,82171.75,43.6,1754,93.1,709,37.7,1119,59.4,519,27.6,249,13.2,375,19.9,6944.04,3.69,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Moderate Learning Difficulty,2892,16802,433996.5,25.8,14372,85.5,1236,7.4,3384,20.1,1615,9.6,199,1.2,457,2.7,33809.77,2.01,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Multi-Sensory Impairment,131,176,6507.13,37,156,88.6,47,26.7,88,50,31,17.6,15,8.5,18,10.2,540.69,3.07,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,No primary need,3227,488653,26605364.98,54.4,485088,99.3,283113,57.9,385242,78.8,210905,43.2,120186,24.6,163666,33.5,2340935.63,4.79,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Other Difficulty/Disability,1610,4405,161613.26,36.7,4094,92.9,1033,23.5,1897,43.1,841,19.1,297,6.7,475,10.8,13329.15,3.03,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Physical Disability,1590,2700,102379.63,37.9,2327,86.2,832,30.8,1321,48.9,581,21.5,277,10.3,394,14.6,8635.59,3.2,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Profound & Multiple Learning Difficulty,277,583,1440.5,2.5,44,7.5,9,1.5,14,2.4,3,0.5,2,0.3,2,0.3,111.83,0.19,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,SEN support but NSA,594,1696,59870,35.3,1657,97.7,295,17.4,657,38.7,252,14.9,58,3.4,110,6.5,4830.51,2.85,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Severe Learning Difficulty,687,2430,7244.75,3,270,11.1,21,0.9,40,1.6,18,0.7,5,0.2,5,0.2,542.86,0.22,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,"Social, emotional and mental health (SEMH)",3300,18925,557511.13,29.5,16552,87.5,3323,17.6,6525,34.5,2432,12.9,760,4,1267,6.7,45091.67,2.38,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Specific Learning Difficulty,2921,16243,626441.88,38.6,15776,97.1,3913,24.1,7479,46,2489,15.3,846,5.2,1391,8.6,50853.12,3.13,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,"Speech, Language and Communications Needs",2673,8578,256530.13,29.9,7451,86.9,1231,14.4,2607,30.4,1210,14.1,284,3.3,520,6.1,20732.67,2.42,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Visual Impairment,837,1109,49711,44.8,1041,93.9,437,39.4,644,58.1,312,28.1,172,15.5,227,20.5,4239.81,3.82,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No SEN,3213,487466,26584768.23,54.5,484208,99.3,282962,58,384932,79,210903,43.3,120186,24.7,163664,33.6,2339251.33,4.8,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,SEN State EHC,3584,23284,366396.39,15.7,11863,50.9,1818,7.8,3688,15.8,904,3.9,333,1.4,505,2.2,28541.35,1.23,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,SEN Supp,3232,63926,2347548.4,36.7,62273,97.4,14183,22.2,26890,42.1,11008,17.2,3579,5.6,5833,9.1,191834.66,3,z,z,z,z,z
202021,Academic year,National,E92000001,England,Revised,All state-funded,Total,Total,3989,575863,29319309.77,50.9,559224,97.1,299114,51.9,415820,72.2,222817,38.7,124098,21.5,170004,29.5,2561311.64,4.45,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged,3965,146214,5877032.17,40.2,137997,94.4,44441,30.4,76691,52.5,40584,27.8,14655,10,24120,16.5,495447.52,3.39,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Disadvantage,Disadvantaged all other,3955,415780,22318327.89,53.7,408186,98.2,235976,56.8,323654,77.8,182930,44,104811,25.2,143588,34.5,1968427.91,4.73,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,ASIAN - Any other Asian background,2136,10247,587789.63,57.4,9980,97.4,6661,65,8298,81,5730,55.9,3594,35.1,4614,45,53647.83,5.24,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,ASIAN - Bangladeshi,1456,10372,559229.13,53.9,10125,97.6,5939,57.3,8019,77.3,5479,52.8,2774,26.7,3967,38.2,49845.57,4.81,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,ASIAN - Indian,2004,16129,978702.05,60.7,15907,98.6,11353,70.4,13685,84.8,9685,60,6543,40.6,8136,50.4,89911.75,5.57,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,ASIAN - Pakistani,1804,24275,1197327.94,49.3,23636,97.4,11595,47.8,16774,69.1,10775,44.4,4844,20,7207,29.7,105210.18,4.33,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,ASIAN - Total,2957,61023,3323048.75,54.5,59648,97.7,35548,58.3,46776,76.7,31669,51.9,17755,29.1,23924,39.2,298615.33,4.89,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,BLACK - Any other black background,1431,4258,201725.51,47.4,4100,96.3,1775,41.7,2734,64.2,1991,46.8,814,19.1,1264,29.7,17792.47,4.18,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,BLACK - Black African,2231,21299,1084173.16,50.9,20759,97.5,10799,50.7,15435,72.5,10842,50.9,4854,22.8,7350,34.5,96779.11,4.54,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,BLACK - Caribbean,1423,7378,324394.88,44,7119,96.5,2567,34.8,4400,59.6,2880,39,954,12.9,1677,22.7,27685.77,3.75,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,BLACK - Total,2575,32935,1610293.55,48.9,31978,97.1,15141,46,22569,68.5,15713,47.7,6622,20.1,10291,31.2,142257.35,4.32,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,CHINESE - Chinese,1121,1959,132440.54,67.6,1936,98.8,1560,79.6,1788,91.3,1258,64.2,981,50.1,1144,58.4,12359.76,6.31,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,CHINESE - Total,1121,1959,132440.54,67.6,1936,98.8,1560,79.6,1788,91.3,1258,64.2,981,50.1,1144,58.4,12359.76,6.31,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,MIXED - Any other mixed background,2782,11093,577811.91,52.1,10790,97.3,5878,53,8090,72.9,5412,48.8,2840,25.6,3998,36,51555.25,4.65,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,MIXED - Total,3405,29481,1498633.08,50.8,28688,97.3,14805,50.2,20906,70.9,13067,44.3,7013,23.8,9687,32.9,132208.31,4.48,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,MIXED - White and Asian,2391,6654,371685.9,55.9,6517,97.9,4049,60.9,5250,78.9,3268,49.1,2119,31.8,2643,39.7,33281.57,5,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,MIXED - White and Black African,1806,3706,189239.88,51.1,3624,97.8,1863,50.3,2682,72.4,1777,47.9,906,24.4,1294,34.9,16817.59,4.54,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,MIXED - White and Black Caribbean,2393,8028,359895.39,44.8,7757,96.6,3015,37.6,4884,60.8,2610,32.5,1148,14.3,1752,21.8,30553.9,3.81,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,OTHER - Any other ethnic group,2168,10522,532519.71,50.6,10102,96,5312,50.5,7348,69.8,5373,51.1,2682,25.5,3809,36.2,48312.61,4.59,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,OTHER - Total,2168,10522,532519.71,50.6,10102,96,5312,50.5,7348,69.8,5373,51.1,2682,25.5,3809,36.2,48312.61,4.59,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Unclassified - Total,2053,9570,396455.64,41.4,8613,90,3659,38.2,5505,57.5,2950,30.8,1444,15.1,2088,21.8,34424.89,3.6,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Unclassified - Unclassified,2053,9570,396455.64,41.4,8613,90,3659,38.2,5505,57.5,2950,30.8,1444,15.1,2088,21.8,34424.89,3.6,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,WHITE - Any other white background,3242,30321,1537255.62,50.7,29480,97.2,14762,48.7,20986,69.2,15142,49.9,7839,25.9,10824,35.7,139364.47,4.6,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,WHITE - Gypsy/Roma,594,1354,31596,23.3,1181,87.2,109,8.1,273,20.2,148,10.9,19,1.4,48,3.5,2481.47,1.83,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,WHITE - Total,3968,416504,20701968.79,49.7,405218,97.3,204392,49.1,295453,70.9,153484,36.9,82969,19.9,116765,28,1795697.18,4.31,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,WHITE - Traveller of Irish heritage,145,160,5093.75,31.8,141,88.1,32,20,60,37.5,33,20.6,10,6.3,20,12.5,428.31,2.68,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,WHITE - White British,3944,383021,19036456.04,49.7,372801,97.3,188497,49.2,272832,71.2,137359,35.9,74579,19.5,105193,27.5,1645250.12,4.3,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,WHITE - White Irish,930,1648,91567.38,55.6,1615,98,992,60.2,1302,79,802,48.7,522,31.7,680,41.3,8172.81,4.96,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,First language,English,3974,464649,23317435.3,50.2,452426,97.4,232660,50.1,333315,71.7,175949,37.9,95835,20.6,134330,28.9,2025180.53,4.36,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,First language,Other than English,3466,94286,4798796.74,50.9,91449,97,47106,50,65941,69.9,47106,50,23433,24.9,33093,35.1,432002.38,4.58,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,First language,Unclassified EAL,521,3059,79128.02,25.9,2308,75.4,651,21.3,1089,35.6,459,15,198,6.5,285,9.3,6692.52,2.19,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,FSM,3930,88666,3420730.98,38.6,82774,93.4,24655,27.8,43634,49.2,22770,25.7,7918,8.9,13145,14.8,286882.3,3.24,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Free school meals,FSM all other,3971,473328,24774629.08,52.3,463409,97.9,255762,54,356711,75.4,200744,42.4,111548,23.6,154563,32.7,2176993.13,4.6,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Gender,Boys,3769,286588,13579883.66,47.4,276243,96.4,131494,45.9,193795,67.6,97667,34.1,47473,16.6,68988,24.1,1184012.54,4.13,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Gender,Girls,3710,275406,14615476.4,53.1,269940,98,148923,54.1,206550,75,125847,45.7,71993,26.1,98720,35.8,1279862.89,4.65,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Autistic Spectrum Disorder,2981,10751,330166.76,30.7,7966,74.1,2447,22.8,4146,38.6,1477,13.7,636,5.9,970,9,27490.75,2.56,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Hearing Impairment,1172,1787,77879.88,43.6,1663,93.1,627,35.1,1036,58,491,27.5,234,13.1,351,19.6,6564.34,3.67,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Moderate Learning Difficulty,2877,16097,407265,25.3,13710,85.2,1001,6.2,2838,17.6,1459,9.1,199,1.2,442,2.7,31635.41,1.97,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Multi-Sensory Impairment,132,175,6290,35.9,147,84,46,26.3,73,41.7,35,20,17,9.7,22,12.6,526.88,3.01,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,No primary need,3225,479901,25672388.39,53.5,476262,99.2,266656,55.6,373213,77.8,212183,44.2,115902,24.2,161771,33.7,2259140.97,4.71,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Other Difficulty/Disability,1480,4160,152521.75,36.7,3893,93.6,958,23,1734,41.7,789,19,296,7.1,450,10.8,12629.3,3.04,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Physical Disability,1560,2635,94678,35.9,2225,84.4,726,27.6,1224,46.5,544,20.6,239,9.1,355,13.5,7924.29,3.01,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Profound & Multiple Learning Difficulty,293,597,1118.25,1.9,35,5.9,3,0.5,9,1.5,2,0.3,0,0,0,0,79.15,0.13,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,SEN support but NSA,514,1500,53120.25,35.4,1470,98,258,17.2,548,36.5,274,18.3,71,4.7,135,9,4347.45,2.9,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Severe Learning Difficulty,673,2226,7586.5,3.4,271,12.2,21,0.9,46,2.1,14,0.6,5,0.2,6,0.3,549.52,0.25,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,"Social, emotional and mental health (SEMH)",3219,17044,499431.27,29.3,14934,87.6,2825,16.6,5707,33.5,2239,13.1,682,4,1172,6.9,40373.69,2.37,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Specific Learning Difficulty,2890,16085,609495.63,37.9,15642,97.2,3444,21.4,6953,43.2,2531,15.7,783,4.9,1335,8.3,49504.82,3.08,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,"Speech, Language and Communications Needs",2621,8001,238567.88,29.8,7008,87.6,1014,12.7,2207,27.6,1187,14.8,275,3.4,512,6.4,19295.51,2.41,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Visual Impairment,797,1035,44850.5,43.3,957,92.5,391,37.8,611,59,289,27.9,127,12.3,187,18.1,3813.35,3.68,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,No SEN,3211,477952,25644501,53.7,475017,99.4,266475,55.8,372818,78,212174,44.4,115902,24.2,161770,33.8,2256958.64,4.72,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,SEN State EHC,3515,21842,331742.64,15.2,11090,50.8,1418,6.5,3082,14.1,882,4,308,1.4,488,2.2,25810.97,1.18,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,SEN status,SEN Supp,3237,60251,2191229.03,36.4,58831,97.6,12343,20.5,24050,39.9,10449,17.3,3256,5.4,5449,9,178923.49,2.97,z,z,z,z,z
201920,Academic year,National,E92000001,England,Revised,All state-funded,Total,Total,3987,561994,28195360.06,50.2,546183,97.2,280417,49.9,400345,71.2,223514,39.8,119466,21.3,167708,29.8,2463875.43,4.38,z,z,z,z,z
201819,Academic year,National,E92000001,England,Final,All state-funded,Disadvantage,Disadvantaged,3938,143816,5275978.96,36.7,134678,93.6,35549,24.7,64337,44.7,39527,27.5,10601,7.4,18141,12.6,442988.81,3.08,138026,-61453.244,-0.45,-0.45,-0.44
201819,Academic year,National,E92000001,England,Final,All state-funded,Disadvantage,Disadvantaged all other,3929,398805,20059181.87,50.3,391437,98.2,199062,49.9,286426,71.8,177459,44.5,82248,20.6,117201,29.4,1767768.34,4.43,374903,47603.41,0.13,0.12,0.13
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,ASIAN - Any other Asian background,2103,9303,506991.17,54.5,9048,97.3,5592,60.1,7080,76.1,5220,56.1,2841,30.5,3743,40.2,46195.27,4.97,7949,5254.945,0.66,0.63,0.69
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,ASIAN - Bangladeshi,1392,9877,499808.76,50.6,9658,97.8,4965,50.3,6945,70.3,4850,49.1,2050,20.8,2964,30,43999.38,4.45,9289,4406.61,0.47,0.45,0.5
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,ASIAN - Indian,1935,15429,884580.25,57.3,15206,98.6,9894,64.1,12347,80,9106,59,5281,34.2,6746,43.7,80780.69,5.24,13508,9559.201,0.71,0.69,0.73
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,ASIAN - Pakistani,1729,23502,1084866.2,46.2,22916,97.5,9712,41.3,14610,62.2,10237,43.6,3734,15.9,5638,24,94623.47,4.03,22020,5318.015,0.24,0.22,0.26
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,ASIAN - Total,2910,58111,2976246.38,51.2,56828,97.8,30163,51.9,40982,70.5,29413,50.6,13906,23.9,19091,32.9,265598.81,4.57,52766,24538.771,0.47,0.45,0.48
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,BLACK - Any other black background,1344,3875,166456.89,43,3706,95.6,1304,33.7,2109,54.4,1710,44.1,548,14.1,841,21.7,14550.75,3.76,3184,240.082,0.08,0.03,0.12
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,BLACK - Black African,2156,19807,937951.8,47.4,19240,97.1,8493,42.9,12759,64.4,9994,50.5,3505,17.7,5474,27.6,83320.36,4.21,16861,5509.325,0.33,0.31,0.35
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,BLACK - Caribbean,1438,7493,295396.75,39.4,7258,96.9,1984,26.5,3617,48.3,2802,37.4,695,9.3,1187,15.8,24986.94,3.33,7146,-2182.673,-0.31,-0.34,-0.28
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,BLACK - Total,2533,31175,1399805.44,44.9,30204,96.9,11781,37.8,18485,59.3,14506,46.5,4748,15.2,7502,24.1,122858.05,3.94,27191,3566.734,0.13,0.12,0.15
201819,Academic year,National,E92000001,England,Final,All state-funded,Ethnicity,CHINESE - Chinese,1135,2006,129011.96,64.3,1972,98.3,1531,76.3,1791,89.3,1235,61.6,901,44.9,1058,52.7,12013.36,5.99,1697,1460.028,0.86,0.8,0.92
